Ticker,term,Dates,Beta,Standard Error,t-value,p-value
AAPL,Market Returns,2022-10-03 - 2024-09-20,1.1583234458015574,0.2870785969085092,4.034865219056058,5.977791620062346e-4
MSFT,Market Returns,2022-10-03 - 2024-09-20,0.9192067923999211,0.2614813997321746,3.515381183294221,0.002056357384222661
NVDA,Market Returns,2022-10-03 - 2024-09-20,2.212391047193799,0.5705888947696022,3.8773818899632446,8.706605661215671e-4
AMZN,Market Returns,2022-10-03 - 2024-09-20,1.310754097900372,0.35889808642035825,3.6521624034661344,0.0014877973773427377
META,Market Returns,2022-10-03 - 2024-09-20,1.349594651570314,0.44086124241638236,3.061268539219095,0.005928374063915035
GOOGL,Market Returns,2022-10-03 - 2024-09-20,0.9749183688731581,0.36058698248438675,2.7036981816595986,0.01330035519141367
BRK-B,Market Returns,2022-10-03 - 2024-09-20,0.6875700806423599,0.19792554363880838,3.4738824913731055,0.0022677402141492724
AVGO,Market Returns,2022-10-03 - 2024-09-20,1.0073748739224835,0.3980370919250311,2.5308567828453006,0.019435437150535438
GOOG,Market Returns,2022-10-03 - 2024-09-20,0.9814118857645474,0.35891601964825726,2.7343774923346826,0.012423865560642868
LLY,Market Returns,2022-10-03 - 2024-09-20,0.4843299531565171,0.47668461752213204,1.0160385616681455,0.3211749039279572
TSLA,Market Returns,2022-10-03 - 2024-09-20,2.116641372557291,0.9724843653942048,2.176529976087885,0.041072226541382297
JPM,Market Returns,2022-10-03 - 2024-09-20,0.9804680132724927,0.2625985993319721,3.733713796519546,0.0012258531057956355
UNH,Market Returns,2022-10-03 - 2024-09-20,-0.019997546874090586,0.2589694197337636,-0.07721972306479,0.9391797580561421
XOM,Market Returns,2022-10-03 - 2024-09-20,0.1852242873591467,0.30900997008921194,0.5994120102521999,0.5553107030294443
V,Market Returns,2022-10-03 - 2024-09-20,0.8408523631698837,0.17837297093698531,4.714012211339663,1.1806390395519977e-4
PG,Market Returns,2022-10-03 - 2024-09-20,0.3497024897978128,0.2661989497819569,1.3136884652785201,0.20312283056932257
MA,Market Returns,2022-10-03 - 2024-09-20,0.8982393620518727,0.17405399463993676,5.160693748569511,4.105124145383424e-5
COST,Market Returns,2022-10-03 - 2024-09-20,1.25226712125323,0.23290074323570709,5.376827501086476,2.475672956860129e-5
HD,Market Returns,2022-10-03 - 2024-09-20,1.364234909196303,0.2268214540735941,6.014576155365205,5.71866986995236e-6
JNJ,Market Returns,2022-10-03 - 2024-09-20,0.5950616409635565,0.22284128210726853,2.6703384370096797,0.014319765404266674
WMT,Market Returns,2022-10-03 - 2024-09-20,0.531780097490817,0.22236329273670963,2.3914922780014503,0.02621874020453486
ABBV,Market Returns,2022-10-03 - 2024-09-20,0.44847056457015655,0.33960628648615265,1.320560255849218,0.20086001749232235
