Asset Name,Ticker,term,Dates,Beta,Standard Error,t-value,p-value
S&P 500,SPY,Market Returns,2022-10-03 - 2024-09-20,1.004615391668081,0.00995854079907098,100.87977866815591,1.0717332999656404e-29
Amazon,AMZN,Market Returns,2022-10-03 - 2024-09-20,1.310756136243378,0.3588983204424652,3.6521657014928954,0.001487785739533245
AirBnB,ABNB,Market Returns,2022-10-03 - 2024-09-20,1.4451106741428918,0.5814516207294718,2.4853498083467365,0.021445724491225632
Uber,UBER,Market Returns,2022-10-03 - 2024-09-20,2.150786540329463,0.49300456164094386,4.362609816774647,2.730074041201833e-4
Chipotle,CMG,Market Returns,2022-10-03 - 2024-09-20,1.2447941098830675,0.4502407874277962,2.764729772694553,0.01161085469338004
Alaska Airlines,ALK,Market Returns,2022-10-03 - 2024-09-20,1.808481337309522,0.45368612110552925,3.9861949774938386,6.714998236065933e-4
Callaway,MODG,Market Returns,2022-10-03 - 2024-09-20,1.8203253497450835,0.8016265339072233,2.2707897914414095,0.03380331770559451
Titleist,GOLF,Market Returns,2022-10-03 - 2024-09-20,1.3941802620237183,0.35652602156795854,3.910458641678611,8.045976145165426e-4
Vail Resorts,MTN,Market Returns,2022-10-03 - 2024-09-20,1.1102189609916793,0.2922566511359825,3.798780820475191,0.0010500286981645103
Starbucks,SBUX,Market Returns,2022-10-03 - 2024-09-20,0.8432122289204602,0.41478055131576186,2.0329116836496612,0.05489635629588587
Tinder,MTCH,Market Returns,2022-10-03 - 2024-09-20,2.2927247029805122,0.5988664939774522,3.828440438791413,9.784048750956023e-4
